Name	Ingredients	MaxPrice	MaxServing	EfficiencyScore
Tomato Egg Soup	2 Grade A Egg, 2 Cherry Tomato, 1 Black Pepper	1406	12	11247.999999999998
Dried Stingray	3 Starry Skate, 3 Stingray Meat, 3 Marbled Electric Ray Meat, 1 Salt	1480	12	10148.57142857143
Three-Colored Squid Roast	3 Peacock Squid, 3 Vampire Squid, 3 Cuttlefish, 1 Salt	1480	12	10148.57142857143
Great Spider Crab Curry	1 Spider Crab, 1 Grade A Egg, 1 Curry Block	1480	9	9514.285714285714
Crimson Fish Roll	3 Clown Frogfish, 3 Red Bream, 3 Rhinochimaeridae	1480	9	9186.206896551726
Godzilla vs. Ebirah Curry	2 European Lobster, 2 Moray Eel, 1 Turmeric, 1 Olive Oil	1369	9	7949.032258064515
Lobster Platter	2 American Lobster, 2 Tropical Rock Lobster, 2 Tokummia Katalepsis	1609	6	7426.153846153845
Fried Tomato and Snailfish	3 Gelatinous Snailfish, 3 Salmon Snailfish, 2 Bean, 2 Cherry Tomato	1443	12	7215.0
Pelican Eel Jelly	3 Pelican Eel, 1 Black Vinegar, 1 Agar	1380	9	6369.2307692307695
Shark Karaage	3 Blacktip Shark Meat, 3 Copper Shark Meat, 1 Wheat, 1 Olive Oil	1480	9	6342.857142857144
Pufferfish Dumpling Soup	3 Longspine Porcupinefish, 3 Starry Puffer, 1 Egg, 1 Bladderwrack	1554	9	6080.869565217392
Soy Sauce Marinated Crab	2 Golden King Crab, 2 Snow Crab, 2 Horsehair Crab, 1 Soy Sauce	1609	6	6033.749999999999
Boiled Porbeagle Shark	3 Porbeagle Shark Meat, 1 Black Vinegar, 1 Black Pepper	1480	7	5920.0
Fried Rice with Sally Lightfoot Crab	2 Sally Lightfoot Crab, 2 Rice, 1 Grade A Egg, 1 Black Pepper	1424	10	5812.2448979591845
Dumbo Takoyaki	3 Dumbo Octopus, 2 Wheat, 1 Mayonnaise	1554	9	5708.571428571429
Roasted Capelin	5 Capelin, 1 Black Coral, 1 Turmeric	1443	7	5611.666666666667
Ice Fish Curry	3 Ice Fish, 2 Bean, 1 Curry Block	1480	9	5436.734693877552
Dusky Grouper Steak	5 Dusky Grouper, 3 Cherry Tomato, 1 Salt, 1 Olive Oil	1480	7	5180.0
Marlin and Soybean Paste Roast	3 Marlin Meat, 2 Garlic, 1 Miso	1406	9	5164.897959183674
Narwhal Miso Soup	3 Narwhal Meat, 2 Carrot, 2 Buckbean, 1 Miso	1480	12	5147.826086956522
Blobfish Spring Roll	3 Blobfish, 2 Wheat, 1 Mayonnaise, 1 Sesame Seed	1387	10	5043.636363636365
Mianbao Xia	5 Black Tiger Shrimp, 5 Whiteleg Shrimp, 2 Wheat, 1 Olive Oil	1387	10	4953.571428571428
Grilled Eel with Habanero	2 Snub-nosed Spiny Eel, 2 Habanero, 1 Kajime, 1 Soy Sauce	1572	9	4878.620689655173
Great Barracuda Canape	5 Great Barracuda, 1 Cherry Tomato, 1 Onion, 1 Mayonnaise	1572	6	4491.428571428572
Tropical Fish Sushi Set	3 Titan Triggerfish, 3 Harlequin Hind, 3 Coral Trout, 3 Rice	1387	9	4231.525423728814
